,precision,recall,f1-score,support
0.0,0.3108108108108108,0.13609467455621302,0.18930041152263374,169.0
1.0,0.7383512544802867,0.8898488120950324,0.8070519098922625,463.0
accuracy,0.6882911392405063,0.6882911392405063,0.6882911392405063,0.6882911392405063
macro avg,0.5245810326455488,0.5129717433256227,0.49817616070744813,632.0
weighted avg,0.6240247750813288,0.6882911392405063,0.6418620313725358,632.0
