,precision,recall,f1-score,support
0.0,1.0,0.005917159763313609,0.011764705882352941,169.0
1.0,0.7337559429477021,1.0,0.8464351005484461,463.0
accuracy,0.7341772151898734,0.7341772151898734,0.7341772151898734,0.7341772151898734
macro avg,0.866877971473851,0.5029585798816568,0.4290999032153995,632.0
weighted avg,0.8049509518746615,0.7341772151898734,0.6232400108355193,632.0
